 Number | Obsoleted |        Reference
RFC6173 |           | Venkatesen, P., Ed., "Definitions of Managed Objects for the Internet Fibre Channel Protocol (iFCP)", RFC 6173, March 2011.
RFC6174 |           | Juskevicius, E., "Definition of IETF Working Group Document States", RFC 6174, March 2011.
RFC6175 |           | Juskevicius, E., "Requirements to Extend the Datatracker for IETF Working Group Chairs and Authors", RFC 6175, March 2011.
RFC6176 |           | Turner, S. and T. Polk, "Prohibiting Secure Sockets Layer (SSL) Version 2.0", RFC 6176, March 2011.
RFC6177 |           | Narten, T., Huston, G., and L. Roberts, "IPv6 Address Assignment to End Sites", BCP 157, RFC 6177, March 2011.
RFC6178 |           | Smith, D., Mullooly, J., Jaeger, W., and T. Scholl, "Label Edge Router Forwarding of IPv4 Option Packets", RFC 6178, March 2011.
RFC6179 |           | Templin, F., Ed., "The Internet Routing Overlay Network (IRON)", RFC 6179, March 2011.
RFC6180 |           | Arkko, J. and F. Baker, "Guidelines for Using IPv6 Transition Mechanisms during IPv6 Deployment", RFC 6180, May 2011.
RFC6181 |           | Bagnulo, M., "Threat Analysis for TCP Extensions for Multipath Operation with Multiple Addresses", RFC 6181, March 2011.
RFC6182 |           | Ford, A., Raiciu, C., Handley, M., Barre, S., and J. Iyengar, "Architectural Guidelines for Multipath TCP Development", RFC 6182, March 2011.
RFC6183 |           | Kobayashi, A., Claise, B., Muenz, G., and K. Ishibashi, "IP Flow Information Export (IPFIX) Mediation: Framework", RFC 6183, April 2011.
RFC6184 |           | Wang, Y.-K., Even, R., Kristensen, T., and R. Jesup, "RTP Payload Format for H.264 Video", RFC 6184, May 2011.
RFC6185 |           | Kristensen, T. and P. Luthi, "RTP Payload Format for H.264 Reduced-Complexity Decoding Operation (RCDO) Video", RFC 6185, May 2011.
RFC6186 |           | Daboo, C., "Use of SRV Records for Locating Email Submission/Access Services", RFC 6186, March 2011.
RFC6187 |           | Igoe, K. and D. Stebila, "X.509v3 Certificates for Secure Shell Authentication", RFC 6187, March 2011.
RFC6188 |           | McGrew, D., "The Use of AES-192 and AES-256 in Secure RTP", RFC 6188, March 2011.
RFC6189 |           | Zimmermann, P., Johnston, A., Ed., and J. Callas, "ZRTP: Media Path Key Agreement for Unicast Secure RTP", RFC 6189, April 2011.
RFC6190 |           | Wenger, S., Wang, Y.-K., Schierl, T., and A. Eleftheriadis, "RTP Payload Format for Scalable Video Coding", RFC 6190, May 2011.
RFC6191 |           | Gont, F., "Reducing the TIME-WAIT State Using TCP Timestamps", BCP 159, RFC 6191, April 2011.
RFC6192 |           | Dugal, D., Pignataro, C., and R. Dunn, "Protecting the Router Control Plane", RFC 6192, March 2011.
RFC6193 |           | Saito, M., Wing, D., and M. Toyama, "Media Description for the Internet Key Exchange Protocol (IKE) in the Session Description Protocol (SDP)", RFC 6193, April 2011.
RFC6194 |           | Polk, T., Chen, L., Turner, S., and P. Hoffman, "Security Considerations for the SHA-0 and SHA-1 Message-Digest Algorithms", RFC 6194, March 2011.
RFC6195 |           | Eastlake 3rd, D., "Domain Name System (DNS) IANA Considerations", BCP 42, RFC 6195, March 2011.
RFC6196 |           | Melnikov, A., "Moving mailserver: URI Scheme to Historic", RFC 6196, March 2011.
RFC6197 |           | Wolf, K., "Location-to-Service Translation (LoST) Service List Boundary Extension", RFC 6197, April 2011.
RFC6198 |           | Decraene, B., Francois, P., Pelsser, C., Ahmad, Z., Elizondo Armengol, A., and T. Takeda, "Requirements for the Graceful Shutdown of BGP Sessions", RFC 6198, April 2011.
RFC6201 |           | Asati, R., Pignataro, C., Calabria, F., and C. Olvera, "Device Reset Characterization", RFC 6201, March 2011.
RFC6202 |           | Loreto, S., Saint-Andre, P., Salsano, S., and G. Wilkins, "Known Issues and Best Practices for the Use of Long Polling and Streaming in Bidirectional HTTP", RFC 6202, April 2011.
RFC6203 |           | Sirainen, T., "IMAP4 Extension for Fuzzy Search", RFC 6203, March 2011.
RFC6204 |           | Singh, H., Beebee, W., Donley, C., Stark, B., and O. Troan, Ed., "Basic Requirements for IPv6 Customer Edge Routers", RFC 6204, April 2011.
RFC6205 |           | Otani, T., Ed., and D. Li, Ed., "Generalized Labels for Lambda-Switch-Capable (LSC) Label Switching Routers", RFC 6205, March 2011.
RFC6206 |           | Levis, P., Clausen, T., Hui, J., Gnawali, O., and J. Ko, "The Trickle Algorithm", RFC 6206, March 2011.
RFC6207 |           | Denenberg, R., Ed., "The Media Types application/mods+xml, application/mads+xml, application/mets+xml, application/marcxml+xml, and application/sru+xml", RFC 6207, April 2011.
RFC6208 |           | Sankar, K., Ed., and A. Jones, "Cloud Data Management Interface (CDMI) Media Types", RFC 6208, April 2011.
RFC6209 |           | Kim, W., Lee, J., Park, J., and D. Kwon, "Addition of the ARIA Cipher Suites to Transport Layer Security (TLS)", RFC 6209, April 2011.
RFC6210 |           | Schaad, J., "Experiment: Hash Functions with Parameters in the Cryptographic Message Syntax (CMS) and S/MIME", RFC 6210, April 2011.
RFC6211 |           | Schaad, J., "Cryptographic Message Syntax (CMS) Algorithm Identifier Protection Attribute", RFC 6211, April 2011.
RFC6212 |           | Kucherawy, M., "Authentication-Results Registration for Vouch by Reference Results", RFC 6212, April 2011.
RFC6213 |           | Hopps, C. and L. Ginsberg, "IS-IS BFD-Enabled TLV", RFC 6213, April 2011.
RFC6214 |           | Carpenter, B. and R. Hinden, "Adaptation of RFC 1149 for IPv6", RFC 6214, April 1 2011.
RFC6215 |           | Bocci, M., Levrau, L., and D. Frost, "MPLS Transport Profile User-to-Network and Network-to-Network Interfaces", RFC 6215, April 2011.
RFC6216 |           | Jennings, C., Ono, K., Sparks, R., and B. Hibbard, Ed., "Example Call Flows Using Session Initiation Protocol (SIP) Security Mechanisms", RFC 6216, April 2011.
RFC6217 |           | Ritter, T., "Regional Broadcast Using an Atmospheric Link Layer", RFC 6217, April 1 2011.
RFC6218 |           | Zorn, G., Zhang, T., Walker, J., and J. Salowey, "Cisco Vendor-Specific RADIUS Attributes for the Delivery of Keying Material", RFC 6218, April 2011.
RFC6219 |           | Li, X., Bao, C., Chen, M., Zhang, H., and J. Wu, "The China Education and Research Network (CERNET) IVI Translation Design and Deployment for the IPv4/IPv6 Coexistence and Transition", RFC 6219, May 2011.
RFC6220 |           | McPherson, D., Ed., Kolkman, O., Ed., Klensin, J., Ed., Huston, G., Ed., and Internet Architecture Board, "Defining the Role and Function of IETF Protocol Parameter Registry Operators", RFC 6220, April 2011.
RFC6221 |           | Miles, D., Ed., Ooghe, S., Dec, W., Krishnan, S., and A. Kavanagh, "Lightweight DHCPv6 Relay Agent", RFC 6221, May 2011.
RFC6222 |           | Begen, A., Perkins, C., and D. Wing, "Guidelines for Choosing RTP Control Protocol (RTCP) Canonical Names (CNAMEs)", RFC 6222, April 2011.
RFC6223 |           | Holmberg, C., "Indication of Support for Keep-Alive", RFC 6223, April 2011.
RFC6224 |           | Schmidt, T., Waehlisch, M., and S. Krishnan, "Base Deployment for Multicast Listener Support in Proxy Mobile IPv6 (PMIPv6) Domains", RFC 6224, April 2011.
RFC6225 |           | Polk, J., Linsner, M., Thomson, M., and B. Aboba, Ed., "Dynamic Host Configuration Protocol Options for Coordinate-Based Location Configuration Information", RFC 6225, July 2011.
RFC6226 |           | Joshi, B., Kessler, A., and D. McWalter, "PIM Group-to-Rendezvous-Point Mapping", RFC 6226, May 2011.
RFC6227 |           | Li, T., Ed., "Design Goals for Scalable Internet Routing", RFC 6227, May 2011.
RFC6228 |           | Holmberg, C., "Session Initiation Protocol (SIP) Response Code for Indication of Terminated Dialog", RFC 6228, May 2011.
RFC6229 |           | Strombergson, J. and S. Josefsson, "Test Vectors for the Stream Cipher RC4", RFC 6229, May 2011.
RFC6230 |           | Boulton, C., Melanchuk, T., and S. McGlashan, "Media Control Channel Framework", RFC 6230, May 2011.
RFC6231 |           | McGlashan, S., Melanchuk, T., and C. Boulton, "An Interactive Voice Response (IVR) Control Package for the Media Control Channel Framework", RFC 6231, May 2011.
RFC6232 |           | Wei, F., Qin, Y., Li, Z., Li, T., and J. Dong, "Purge Originator Identification TLV for IS-IS", RFC 6232, May 2011.
RFC6233 |           | Li, T. and L. Ginsberg, "IS-IS Registry Extension for Purges", RFC 6233, May 2011.
RFC6234 |           | Eastlake 3rd, D. and T. Hansen, "US Secure Hash Algorithms (SHA and SHA-based HMAC and HKDF)", RFC 6234, May 2011.
RFC6235 |           | Boschi, E. and B. Trammell, "IP Flow Anonymization Support", RFC 6235, May 2011.
RFC6236 |           | Johansson, I. and K. Jung, "Negotiation of Generic Image Attributes in the Session Description Protocol (SDP)", RFC 6236, May 2011.
RFC6237 |           | Leiba, B. and A. Melnikov, "IMAP4 Multimailbox SEARCH Extension", RFC 6237, May 2011.
RFC6238 |           | M'Raihi, D., Machani, S., Pei, M., and J. Rydell, "TOTP: Time-Based One-Time Password Algorithm", RFC 6238, May 2011.
RFC6239 |           | Igoe, K., "Suite B Cryptographic Suites for Secure Shell (SSH)", RFC 6239, May 2011.
RFC6240 |           | Zelig, D., Ed., Cohen, R., Ed., and T. Nadeau, Ed., "Synchronous Optical Network/Synchronous Digital Hierarchy (SONET/SDH) Circuit Emulation over Packet (CEP) MIB Using SMIv2", RFC 6240, May 2011.
RFC6241 |           | Enns, R., Ed., Bjorklund, M., Ed., Schoenwaelder, J., Ed., and A. Bierman, Ed., "Network Configuration Protocol (NETCONF)", RFC 6241, June 2011.
RFC6242 |           | Wasserman, M., "Using the NETCONF Protocol over Secure Shell (SSH)", RFC 6242, June 2011.
RFC6243 |           | Bierman, A. and B. Lengyel, "With-defaults Capability for NETCONF", RFC 6243, June 2011.
RFC6244 |           | Shafer, P., "An Architecture for Network Management Using NETCONF and YANG", RFC 6244, June 2011.
RFC6245 |           | Yegani, P., Leung, K., Lior, A., Chowdhury, K., and J. Navali, "Generic Routing Encapsulation (GRE) Key Extension for Mobile IPv4", RFC 6245, May 2011.
RFC6246 |           | Sajassi, A., Ed., Brockners, F., Mohan, D., Ed., and Y. Serbest, "Virtual Private LAN Service (VPLS) Interoperability with Customer Edge (CE) Bridges", RFC 6246, June 2011.
RFC6247 |           | Eggert, L., "Moving the Undeployed TCP Extensions RFC 1072, RFC 1106, RFC 1110, RFC 1145, RFC 1146, RFC 1379, RFC 1644, and RFC 1693 to Historic Status", RFC 6247, May 2011.
RFC6248 |           | Morton, A., "RFC 4148 and the IP Performance Metrics (IPPM) Registry of Metrics Are Obsolete", RFC 6248, April 2011.
RFC6249 |           | Bryan, A., McNab, N., Tsujikawa, T., Poeml, P., and H. Nordstrom, "Metalink/HTTP: Mirrors and Hashes", RFC 6249, June 2011.
RFC6250 |           | Thaler, D., "Evolution of the IP Model", RFC 6250, May 2011.
RFC6251 |           | Josefsson, S., "Using Kerberos Version 5 over the Transport Layer Security (TLS) Protocol", RFC 6251, May 2011.
RFC6252 |           | Dutta, A., Ed., Fajardo, V., Ohba, Y., Taniuchi, K., and H. Schulzrinne, "A Framework of Media-Independent Pre-Authentication (MPA) for Inter-Domain Handover Optimization", RFC 6252, June 2011.
RFC6253 |           | Heer, T. and S. Varjonen, "Host Identity Protocol Certificates", RFC 6253, May 2011.
RFC6254 |           | McFadden, M., "Request to Move RFC 2754 to Historic Status", RFC 6254, May 2011.
RFC6255 |           | Blanchet, M., "Delay-Tolerant Networking Bundle Protocol IANA Registries", RFC 6255, May 2011.
RFC6256 |           | Eddy, W. and E. Davies, "Using Self-Delimiting Numeric Values in Protocols", RFC 6256, May 2011.
RFC6257 |           | Symington, S., Farrell, S., Weiss, H., and P. Lovell, "Bundle Security Protocol Specification", RFC 6257, May 2011.
RFC6258 |           | Symington, S., "Delay-Tolerant Networking Metadata Extension Block", RFC 6258, May 2011.
RFC6259 |           | Symington, S., "Delay-Tolerant Networking Previous-Hop Insertion Block", RFC 6259, May 2011.
RFC6260 |           | Burleigh, S., "Compressed Bundle Header Encoding (CBHE)", RFC 6260, May 2011.
RFC6261 |           | Keranen, A., "Encrypted Signaling Transport Modes for the Host Identity Protocol", RFC 6261, May 2011.
RFC6262 |           | Ikonin, S., "RTP Payload Format for IP-MR Speech Codec", RFC 6262, August 2011.
RFC6263 |           | Marjou, X. and A. Sollaud, "Application Mechanism for Keeping Alive the NAT Mappings Associated with RTP / RTP Control Protocol (RTCP) Flows", RFC 6263, June 2011.
RFC6264 |           | Jiang, S., Guo, D., and B. Carpenter, "An Incremental Carrier-Grade NAT (CGN) for IPv6 Transition", RFC 6264, June 2011.
RFC6265 |           | Barth, A., "HTTP State Management Mechanism", RFC 6265, April 2011.
RFC6266 |           | Reschke, J., "Use of the Content-Disposition Header Field in the Hypertext Transfer Protocol (HTTP)", RFC 6266, June 2011.
RFC6267 |           | Cakulev, V. and G. Sundaram, "MIKEY-IBAKE: Identity-Based Authenticated Key Exchange (IBAKE) Mode of Key Distribution in Multimedia Internet KEYing (MIKEY)", RFC 6267, June 2011.
RFC6268 |           | Schaad, J. and S. Turner, "Additional New ASN.1 Modules for the Cryptographic Message Syntax (CMS) and the Public Key Infrastructure Using X.509 (PKIX)", RFC 6268, July 2011.
RFC6269 |           | Ford, M., Ed., Boucadair, M., Durand, A., Levis, P., and P. Roberts, "Issues with IP Address Sharing", RFC 6269, June 2011.
RFC6270 |           | Yevstifeyev, M., "The 'tn3270' URI Scheme", RFC 6270, June 2011.
RFC6271 |           | Mule, J-F., "Requirements for SIP-Based Session Peering", RFC 6271, June 2011.
RFC6272 |           | Baker, F. and D. Meyer, "Internet Protocols for the Smart Grid", RFC 6272, June 2011.
RFC6273 |           | Kukec, A., Krishnan, S., and S. Jiang, "The Secure Neighbor Discovery (SEND) Hash Threat Analysis", RFC 6273, June 2011.
RFC6274 |           | Gont, F., "Security Assessment of the Internet Protocol Version 4", RFC 6274, July 2011.
RFC6275 |           | Perkins, C., Ed., Johnson, D., and J. Arkko, "Mobility Support in IPv6", RFC 6275, July 2011.
RFC6276 |           | Droms, R., Thubert, P., Dupont, F., Haddad, W., and C. Bernardos, "DHCPv6 Prefix Delegation for Network Mobility (NEMO)", RFC 6276, July 2011.
RFC6277 |           | Santesson, S. and P. Hallam-Baker, "Online Certificate Status Protocol Algorithm Agility", RFC 6277, June 2011.
RFC6278 |           | Herzog, J. and R. Khazan, "Use of Static-Static Elliptic Curve Diffie-Hellman Key Agreement in Cryptographic Message Syntax", RFC 6278, June 2011.
RFC6279 |           | Liebsch, M., Ed., Jeong, S., and Q. Wu, "Proxy Mobile IPv6 (PMIPv6) Localized Routing Problem Statement", RFC 6279, June 2011.
RFC6280 |           | Barnes, R., Lepinski, M., Cooper, A., Morris, J., Tschofenig, H., and H. Schulzrinne, "An Architecture for Location and Location Privacy in Internet Applications", BCP 160, RFC 6280, July 2011.
RFC6281 |           | Cheshire, S., Zhu, Z., Wakikawa, R., and L. Zhang, "Understanding Apple's Back to My Mac (BTMM) Service", RFC 6281, June 2011.
RFC6282 |           | Hui, J., Ed., and P. Thubert, "Compression Format for IPv6 Datagrams over IEEE 802.15.4-Based Networks", RFC 6282, September 2011.
RFC6283 |           | Jerman Blazic, A., Saljic, S., and T. Gondrom, "Extensible Markup Language Evidence Record Syntax (XMLERS)", RFC 6283, July 2011.
RFC6284 |           | Begen, A., Wing, D., and T. Van Caenegem, "Port Mapping between Unicast and Multicast RTP Sessions", RFC 6284, June 2011.
RFC6285 |           | Ver Steeg, B., Begen, A., Van Caenegem, T., and Z. Vax, "Unicast-Based Rapid Acquisition of Multicast RTP Sessions", RFC 6285, June 2011.
RFC6286 |           | Chen, E. and J. Yuan, "Autonomous-System-Wide Unique BGP Identifier for BGP-4", RFC 6286, June 2011.
RFC6287 |           | M'Raihi, D., Rydell, J., Bajaj, S., Machani, S., and D. Naccache, "OCRA: OATH Challenge-Response Algorithm", RFC 6287, June 2011.
RFC6288 |           | Reed, C., "URN Namespace for the Defence Geospatial Information Working Group (DGIWG)", RFC 6288, August 2011.
RFC6289 |           | Cardona, E., Channabasappa, S., and J-F. Mule, "A Uniform Resource Name (URN) Namespace for CableLabs", RFC 6289, June 2011.
RFC6290 |           | Nir, Y., Ed., Wierbowski, D., Detienne, F., and P. Sethi, "A Quick Crash Detection Method for the Internet Key Exchange Protocol (IKE)", RFC 6290, June 2011.
RFC6291 |           | Andersson, L., van Helvoort, H., Bonica, R., Romascanu, D., and S. Mansfield, "Guidelines for the Use of the "OAM" Acronym in the IETF", BCP 161, RFC 6291, June 2011.
RFC6292 |           | Hoffman, P., "Requirements for a Working Group Charter Tool", RFC 6292, June 2011.
RFC6293 |           | Hoffman, P., "Requirements for Internet-Draft Tracking by the IETF Community in the Datatracker", RFC 6293, June 2011.
RFC6294 |           | Hu, Q. and B. Carpenter, "Survey of Proposed Use Cases for the IPv6 Flow Label", RFC 6294, June 2011.
RFC6295 |           | Lazzaro, J. and J. Wawrzynek, "RTP Payload Format for MIDI", RFC 6295, June 2011.
RFC6296 |           | Wasserman, M. and F. Baker, "IPv6-to-IPv6 Network Prefix Translation", RFC 6296, June 2011.
RFC6297 |           | Welzl, M. and D. Ros, "A Survey of Lower-than-Best-Effort Transport Protocols", RFC 6297, June 2011.
RFC6298 |           | Paxson, V., Allman, M., Chu, J., and M. Sargent, "Computing TCP's Retransmission Timer", RFC 6298, June 2011.
RFC6301 |           | Zhu, Z., Wakikawa, R., and L. Zhang, "A Survey of Mobility Support in the Internet", RFC 6301, July 2011.
RFC6302 |           | Durand, A., Gashinsky, I., Lee, D., and S. Sheppard, "Logging Recommendations for Internet-Facing Servers", BCP 162, RFC 6302, June 2011.
RFC6303 |           | Andrews, M., "Locally Served DNS Zones", BCP 163, RFC 6303, July 2011.
RFC6304 |           | Abley, J. and W. Maton, "AS112 Nameserver Operations", RFC 6304, July 2011.
RFC6305 |           | Abley, J. and W. Maton, "I'm Being Attacked by PRISONER.IANA.ORG!", RFC 6305, July 2011.
RFC6306 |           | Frejborg, P., "Hierarchical IPv4 Framework", RFC 6306, July 2011.
RFC6308 |           | Savola, P., "Overview of the Internet Multicast Addressing Architecture", RFC 6308, June 2011.
RFC6309 |           | Arkko, J., Keranen, A., and J. Mattsson, "IANA Rules for MIKEY (Multimedia Internet KEYing)", RFC 6309, August 2011.
RFC6310 |           | Aissaoui, M., Busschbach, P., Martini, L., Morrow, M., Nadeau, T., and Y(J). Stein, "Pseudowire (PW) Operations, Administration, and Maintenance (OAM) Message Mapping", RFC 6310, July 2011.
RFC6311 |           | Singh, R., Ed., Kalyani, G., Nir, Y., Sheffer, Y., and D. Zhang, "Protocol Support for High Availability of IKEv2/IPsec", RFC 6311, July 2011.
RFC6312 |   RFC6342 | Koodli, R., "Mobile Networks Considerations for IPv6 Deployment", RFC 6312, July 2011.
RFC6313 |           | Claise, B., Dhandapani, G., Aitken, P., and S. Yates, "Export of Structured Data in IP Flow Information Export (IPFIX)", RFC 6313, July 2011.
RFC6314 |           | Boulton, C., Rosenberg, J., Camarillo, G., and F. Audet, "NAT Traversal Practices for Client-Server SIP", RFC 6314, July 2011.
RFC6315 |           | Guy, E. and K. Darilion, "IANA Registration for Enumservice 'iax'", RFC 6315, July 2011.
RFC6316 |           | Komu, M., Bagnulo, M., Slavov, K., and S. Sugimoto, Ed., "Sockets Application Program Interface (API) for Multihoming Shim", RFC 6316, July 2011.
RFC6317 |           | Komu, M. and T. Henderson, "Basic Socket Interface Extensions for the Host Identity Protocol (HIP)", RFC 6317, July 2011.
RFC6318 |           | Housley, R. and J. Solinas, "Suite B in Secure/Multipurpose Internet Mail Extensions (S/MIME)", RFC 6318, June 2011.
RFC6319 |           | Azinger, M. and L. Vegoda, "Issues Associated with Designating Additional Private IPv4 Address Space", RFC 6319, July 2011.
RFC6320 |           | Wadhwa, S., Moisand, J., Haag, T., Voigt, N., and T. Taylor, Ed., "Protocol for Access Node Control Mechanism in Broadband Networks", RFC 6320, October 2011.
RFC6321 |           | Daboo, C., Douglass, M., and S. Lees, "xCal: The XML Format for iCalendar", RFC 6321, August 2011.
RFC6322 |           | Hoffman, P., "Datatracker States and Annotations for the IAB, IRTF, and Independent Submission Streams", RFC 6322, July 2011.
RFC6323 |           | Renker, G. and G. Fairhurst, "Sender RTT Estimate Option for the Datagram Congestion Control Protocol (DCCP)", RFC 6323, July 2011.
RFC6324 |           | Nakibly, G. and F. Templin, "Routing Loop Attack Using IPv6 Automatic Tunnels: Problem Statement and Proposed Mitigations", RFC 6324, August 2011.
RFC6325 |           | Perlman, R., Eastlake 3rd, D., Dutt, D., Gai, S., and A. Ghanwani, "Routing Bridges (RBridges): Base Protocol Specification", RFC 6325, July 2011.
RFC6326 |           | Eastlake, D., Banerjee, A., Dutt, D., Perlman, R., and A. Ghanwani, "Transparent Interconnection of Lots of Links (TRILL) Use of IS-IS", RFC 6326, July 2011.
RFC6327 |           | Eastlake 3rd, D., Perlman, R., Ghanwani, A., Dutt, D., and V. Manral, "Routing Bridges (RBridges): Adjacency", RFC 6327, July 2011.
RFC6328 |           | Eastlake 3rd, D., "IANA Considerations for Network Layer Protocol Identifiers", BCP 164, RFC 6328, July 2011.
RFC6330 |           | Luby, M., Shokrollahi, A., Watson, M., Stockhammer, T., and L. Minder, "RaptorQ Forward Error Correction Scheme for Object Delivery", RFC 6330, August 2011.
RFC6331 |           | Melnikov, A., "Moving DIGEST-MD5 to Historic", RFC 6331, July 2011.
RFC6332 |           | Begen, A. and E. Friedrich, "Multicast Acquisition Report Block Type for RTP Control Protocol (RTCP) Extended Reports (XRs)", RFC 6332, July 2011.
RFC6333 |           | Durand, A., Droms, R., Woodyatt, J., and Y. Lee, "Dual-Stack Lite Broadband Deployments Following IPv4 Exhaustion", RFC 6333, August 2011.
RFC6334 |           | Hankins, D. and T. Mrugalski, "Dynamic Host Configuration Protocol for IPv6 (DHCPv6) Option for Dual-Stack Lite", RFC 6334, August 2011.
RFC6335 |           | Cotton, M., Eggert, L., Touch, J., Westerlund, M., and S. Cheshire, "Internet Assigned Numbers Authority (IANA) Procedures for the Management of the Service Name and Transport Protocol Port Number Registry", BCP 165, RFC 6335, August 2011.
RFC6336 |           | Westerlund, M. and C. Perkins, "IANA Registry for Interactive Connectivity Establishment (ICE) Options", RFC 6336, July 2011.
RFC6337 |           | Okumura, S., Sawada, T., and P. Kyzivat, "Session Initiation Protocol (SIP) Usage of the Offer/Answer Model", RFC 6337, August 2011.
RFC6338 |           | Giralt, V. and R. McDuff, "Definition of a Uniform Resource Name (URN) Namespace for the Schema for Academia (SCHAC)", RFC 6338, August 2011.
RFC6339 |           | Josefsson, S. and L. Hornquist Astrand, "Context Token Encapsulate/Decapsulate and OID Comparison Functions for the Generic Security Service Application Program Interface (GSS-API)", RFC 6339, August 2011.
RFC6340 |           | Presuhn, R., "Textual Conventions for the Representation of Floating-Point Numbers", RFC 6340, August 2011.
RFC6341 |           | Rehor, K., Ed., Portman, L., Ed., Hutton, A., and R. Jain, "Use Cases and Requirements for SIP-Based Media Recording (SIPREC)", RFC 6341, August 2011.
RFC6342 |           | Koodli, R., "Mobile Networks Considerations for IPv6 Deployment", RFC 6342, August 2011.
RFC6343 |           | Carpenter, B., "Advisory Guidelines for 6to4 Deployment", RFC 6343, August 2011.
RFC6344 |           | Bernstein, G., Ed., Caviglia, D., Rabbat, R., and H. van Helvoort, "Operating Virtual Concatenation (VCAT) and the Link Capacity Adjustment Scheme (LCAS) with Generalized Multi-Protocol Label Switching (GMPLS)", RFC 6344, August 2011.
RFC6345 |           | Duffy, P., Chakrabarti, S., Cragie, R., Ohba, Y., Ed., and A. Yegin, "Protocol for Carrying Authentication for Network Access (PANA) Relay Element", RFC 6345, August 2011.
RFC6346 |           | Bush, R., Ed., "The Address plus Port (A+P) Approach to the IPv4 Address Shortage", RFC 6346, August 2011.
RFC6347 |           | Rescorla, E. and N. Modadugu, "Datagram Transport Layer Security Version 1.2", RFC 6347, January 2012.
RFC6348 |           | Le Roux, JL., Ed., and T. Morin, Ed., "Requirements for Point-to-Multipoint Extensions to the Label Distribution Protocol", RFC 6348, September 2011.
RFC6349 |           | Constantine, B., Forget, G., Geib, R., and R. Schrage, "Framework for TCP Throughput Testing", RFC 6349, August 2011.
RFC6350 |           | Perreault, S., "vCard Format Specification", RFC 6350, August 2011.
RFC6351 |           | Perreault, S., "xCard: vCard XML Representation", RFC 6351, August 2011.
RFC6352 |           | Daboo, C., "CardDAV: vCard Extensions to Web Distributed Authoring and Versioning (WebDAV)", RFC 6352, August 2011.
RFC6353 |           | Hardaker, W., "Transport Layer Security (TLS) Transport Model for the Simple Network Management Protocol (SNMP)", RFC 6353, July 2011.
RFC6354 |           | Xie, Q., "Forward-Shifted RTP Redundancy Payload Support", RFC 6354, August 2011.
RFC6355 |           | Narten, T. and J. Johnson, "Definition of the UUID-Based DHCPv6 Unique Identifier (DUID-UUID)", RFC 6355, August 2011.
RFC6356 |           | Raiciu, C., Handley, M., and D. Wischik, "Coupled Congestion Control for Multipath Transport Protocols", RFC 6356, October 2011.
RFC6357 |           | Hilt, V., Noel, E., Shen, C., and A. Abdelal, "Design Considerations for Session Initiation Protocol (SIP) Overload Control", RFC 6357, August 2011.
RFC6358 |           | Hoffman, P., "Additional Master Secret Inputs for TLS", RFC 6358, January 2012.
RFC6359 |           | Ginoza, S., Cotton, M., and A. Morris, "Datatracker Extensions to Include IANA and RFC Editor Processing Information", RFC 6359, September 2011.
RFC6360 |           | Housley, R., "Conclusion of FYI RFC Sub-Series", RFC 6360, August 2011.
RFC6361 |           | Carlson, J. and D. Eastlake 3rd, "PPP Transparent Interconnection of Lots of Links (TRILL) Protocol Control Protocol", RFC 6361, August 2011.
RFC6362 |           | Meadors, K., Ed., "Multiple Attachments for Electronic Data Interchange - Internet Integration (EDIINT)", RFC 6362, August 2011.
RFC6363 |           | Watson, M., Begen, A., and V. Roca, "Forward Error Correction (FEC) Framework", RFC 6363, October 2011.
RFC6364 |           | Begen, A., "Session Description Protocol Elements for the Forward Error Correction (FEC) Framework", RFC 6364, October 2011.
RFC6365 |           | Hoffman, P. and J. Klensin, "Terminology Used in Internationalization in the IETF", BCP 166, RFC 6365, September 2011.
RFC6366 |           | Valin, J. and K. Vos, "Requirements for an Internet Audio Codec", RFC 6366, August 2011.
RFC6367 |           | Kanno, S. and M. Kanda, "Addition of the Camellia Cipher Suites to Transport Layer Security (TLS)", RFC 6367, September 2011.
RFC6368 |           | Marques, P., Raszuk, R., Patel, K., Kumaki, K., and T. Yamagata, "Internal BGP as the Provider/Customer Edge Protocol for BGP/MPLS IP Virtual Private Networks (VPNs)", RFC 6368, September 2011.
RFC6369 |           | Haleplidis, E., Koufopavlou, O., and S. Denazis, "Forwarding and Control Element Separation (ForCES) Implementation Experience", RFC 6369, September 2011.
RFC6370 |           | Bocci, M., Swallow, G., and E. Gray, "MPLS Transport Profile (MPLS-TP) Identifiers", RFC 6370, September 2011.
RFC6371 |           | Busi, I., Ed., and D. Allan, Ed., "Operations, Administration, and Maintenance Framework for MPLS-Based Transport Networks", RFC 6371, September 2011.
RFC6372 |           | Sprecher, N., Ed., and A. Farrel, Ed., "MPLS Transport Profile (MPLS-TP) Survivability Framework", RFC 6372, September 2011.
RFC6373 |           | Andersson, L., Ed., Berger, L., Ed., Fang, L., Ed., Bitar, N., Ed., and E. Gray, Ed., "MPLS Transport Profile (MPLS-TP) Control Plane Framework", RFC 6373, September 2011.
RFC6374 |           | Frost, D. and S. Bryant, "Packet Loss and Delay Measurement for MPLS Networks", RFC 6374, September 2011.
RFC6375 |           | Frost, D., Ed., and S. Bryant, Ed., "A Packet Loss and Delay Measurement Profile for MPLS-Based Transport Networks", RFC 6375, September 2011.
RFC6376 |           | Crocker, D., Ed., Hansen, T., Ed., and M. Kucherawy, Ed., "DomainKeys Identified Mail (DKIM) Signatures", RFC 6376, September 2011.
